file,width,height,size
378.jpg,1011.0,1200.0,1213200.0
379.jpg,1100.0,1144.0,1258400.0
380.jpg,1008.0,1300.0,1310400.0
381.jpg,900.0,1260.0,1134000.0
382.jpg,1000.0,1209.0,1209000.0
383.jpg,706.0,906.0,639636.0
384.jpg,1000.0,1347.0,1347000.0
385.jpg,1024.0,1302.0,1333248.0
386.jpg,1363.0,900.0,1226700.0
387.jpg,1150.0,770.0,885500.0
388.jpg,720.0,1154.0,830880.0
389.jpg,1146.0,770.0,882420.0
390.jpg,1200.0,1013.0,1215600.0
391.jpg,1078.0,717.0,772926.0
392.jpg,800.0,1044.0,835200.0
393.jpg,864.0,1200.0,1036800.0
395.jpg,1200.0,908.0,1089600.0
396.jpg,800.0,1126.0,900800.0
397.jpg,714.0,1200.0,856800.0
407.jpg,801.0,961.0,769761.0
408.jpg,637.0,850.0,541450.0
409.jpg,803.0,1030.0,827090.0
410.jpg,700.0,832.0,582400.0
411.jpg,752.0,812.0,610624.0
412.jpg,1071.0,1256.0,1345176.0
413.jpg,1057.0,1256.0,1327592.0
418.jpg,870.0,1273.0,1107510.0
419.jpg,1000.0,1293.0,1293000.0
420.jpg,890.0,1200.0,1068000.0
421.jpg,793.0,990.0,785070.0
422.jpg,1000.0,1280.0,1280000.0
423.jpg,704.0,844.0,594176.0
424.jpg,1000.0,1191.0,1191000.0
425.jpg,850.0,1050.0,892500.0
426.jpg,498.0,788.0,392424.0
427.jpg,700.0,800.0,560000.0
430.jpg,772.0,880.0,679360.0
432.jpg,1301.0,1200.0,1561200.0
433.jpg,1137.0,800.0,909600.0
434.jpg,1000.0,1203.0,1203000.0
436.jpg,1377.0,1004.0,1382508.0
437.jpg,1377.0,894.0,1231038.0
438.jpg,1217.0,973.0,1184141.0
439.jpg,1215.0,964.0,1171260.0
441.jpg,620.0,897.0,556140.0
476.jpg,1080.0,1200.0,1296000.0
477.jpg,1128.0,1400.0,1579200.0
478.jpg,1000.0,1203.0,1203000.0
479.jpg,1408.0,998.0,1405184.0
481.jpg,1000.0,1203.0,1203000.0
482.jpg,1113.0,806.0,897078.0
483.jpg,1383.0,991.0,1370553.0
484.jpg,1311.0,800.0,1048800.0
485.jpg,1100.0,1336.0,1469600.0
486.jpg,903.0,729.0,658287.0
487.jpg,919.0,759.0,697521.0
488.jpg,944.0,650.0,613600.0
489.jpg,942.0,1200.0,1130400.0
490.jpg,973.0,702.0,683046.0
491.jpg,596.0,862.0,513752.0
492.jpg,1000.0,1378.0,1378000.0
493.jpg,901.0,1100.0,991100.0
494.jpg,949.0,900.0,854100.0
495.jpg,1400.0,831.0,1163400.0
496.jpg,1000.0,1237.0,1237000.0
497.jpg,827.0,1053.0,870831.0
498.jpg,991.0,1200.0,1189200.0
499.jpg,1000.0,1207.0,1207000.0
500.jpg,1262.0,800.0,1009600.0
501.jpg,931.0,1200.0,1117200.0
502.jpg,1000.0,1237.0,1237000.0
503.jpg,1306.0,800.0,1044800.0
504.jpg,1300.0,761.0,989300.0
505.jpg,944.0,644.0,607936.0
506.jpg,1000.0,1279.0,1279000.0
507.jpg,846.0,570.0,482220.0
508.jpg,1200.0,855.0,1026000.0
509.jpg,1100.0,1139.0,1252900.0
510.jpg,1146.0,880.0,1008480.0
511.jpg,802.0,736.0,590272.0
512.jpg,900.0,633.0,569700.0
513.jpg,1260.0,772.0,972720.0
514.jpg,929.0,1200.0,1114800.0
515.jpg,828.0,1000.0,828000.0
516.jpg,1318.0,660.0,869880.0
517.jpg,981.0,1038.0,1018278.0
518.jpg,952.0,817.0,777784.0
519.jpg,991.0,585.0,579735.0
520.jpg,2200.0,601.0,1322200.0
521.jpg,974.0,1500.0,1461000.0
522.jpg,1000.0,800.0,800000.0
523.jpg,962.0,800.0,769600.0
524.jpg,1476.0,800.0,1180800.0
525.jpg,1448.0,800.0,1158400.0
526.jpg,850.0,1255.0,1066750.0
527.jpg,1400.0,858.0,1201200.0
528.jpg,642.0,1600.0,1027200.0
530.jpg,1004.0,1200.0,1204800.0
531.jpg,900.0,1076.0,968400.0
532.jpg,900.0,700.0,630000.0
533.jpg,887.0,1100.0,975700.0
534.jpg,757.0,1100.0,832700.0
535.jpg,850.0,1270.0,1079500.0
536.jpg,850.0,1152.0,979200.0
537.jpg,850.0,1152.0,979200.0
542.jpg,805.0,1122.0,903210.0
